study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned,review_coding,review_note
a000696,steve,2020-07-09,yes,NA,yes,NA,yes,NA,1,1,https://citsci.geog.mcgill.ca,yes,NA,https://citsci.geog.mcgill.ca/,no,NA,NA,no,NA,NA,NA,"The linked site is the generic program website; the paper is more a description of a data transcription project, not reporting results",NA,https://citsci.geog.mcgill.ca,citsci.geog.mcgill.ca,NA,https://citsci.geog.mcgill.ca/,citsci.geog.mcgill.ca,FALSE,"iter01: steve coded, website does not have files"
a000785,steve,2020-09-02,yes,NA,yes,NA,yes,NA,1,1,https://iris-database.org,other,"link works, but is to the generic homepage. Searching required to find actual data","https://iris-database.org/iris/app/home/detail?id=york:936215, https://github.com/izeh/l/blob/master/d.r",other,IRIS repo just links to files hosted on Github,IRIS/Github,other,Registration form required before data can be downloaded,yes,NA,IRIS repo just links to files hosted on Github,NA,https://iris-database.org,iris-database.org,"https://iris-database.org/iris/app/home/detail?id=york:936215, https://github.com/izeh/l/blob/master/d.r","https://iris-database.org/iris/app/home/detail?id=york:936215, https://github.com/izeh/l/blob/master/d.r","iris-database.org/iris/app/home/detail?id=york:936215, https://github.com/izeh/l/blob/master/d.r",FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a000845,steve,2020-09-02,yes,NA,yes,NA,yes,NA,1,1,https://www.iris-database.org,other,"link works, but is to the generic homepage. Searching required to find actual data",https://iris-database.org/iris/app/home/detail?id=york:935657,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"Article just links to the IRIS homepage, searching required to find data/materials",NA,https://www.iris-database.org,iris-database.org,https://iris-database.org/iris/app/home/detail?id=york:935657,https://iris-database.org/iris/app/home/detail?id=york:935657,iris-database.org/iris/app/home/detail?id=york:935657,FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a000948,steve,2020-09-02,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/677jr/,other,"Link leads to a list of different OSF projects for the first author, need to select the relevant OSF project for the article",https://osf.io/37g64/,yes,NA,OSF,other,"Repo only contains a PDF of the article, no auxiliary data files",no,NA,"Links to a list of projects, not specific project, and then closest match only had a preprint document no data",NA,https://osf.io/677jr/,osf.io/677jr,https://osf.io/37g64/,https://osf.io/37g64/,osf.io/37g64,FALSE,"iter01: steve coded, issue is that supplied files are not data"
a000965,sophia,2020-04-11,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/b6n8t/,yes,NA,https://accounts.osf.io/login?service=https://osf.io/b6n8t/,yes,NA,OSF,other,requres an OSF sign in account,no,NA,required an account,https://osf.io/b6n8t/,https://osf.io/b6n8t/,osf.io/b6n8t,https://osf.io/b6n8t/,https://osf.io/b6n8t/,osf.io/b6n8t,FALSE,"iter01: steve coded, issue is a non-public OSF project"
a000965,steve,2020-07-25,yes,NA,yes,NA,yes,NA,6,1,https://osf.io/b6n8t/,yes,NA,https://osf.io/b6n8t/,yes,NA,OSF,other,OSF account and permission needed to view project,no,NA,OSF account and permission needed to view project,https://osf.io/b6n8t/,https://osf.io/b6n8t/,osf.io/b6n8t,https://osf.io/b6n8t/,https://osf.io/b6n8t/,osf.io/b6n8t,FALSE,"iter01: steve coded, issue is a non-public OSF project"
a000965,steve,2020-07-25,yes,NA,yes,NA,yes,NA,6,6,https://osf.io/fs67k/,yes,NA,https://osf.io/fs67k/,yes,NA,OSF,other,OSF account and permission needed to view project,no,NA,OSF account and permission needed to view project,https://osf.io/fs67k/,https://osf.io/fs67k/,osf.io/fs67k,NA,https://osf.io/fs67k/,osf.io/fs67k,FALSE,"iter01: steve coded, issue is a non-public OSF project"
a001116,kongmanas,2020-04-20,yes,NA,yes,NA,yes,NA,2,2,https://cancercontrol.cancer.gov/brp/hbrb/flashe.html,yes,NA,https://cancercontrol.cancer.gov/brp/hbrb/flashe.html,other,The data file is in the National Cancer Institutue website,NA,other,data file is confidential and is only sent via email as request,no,NA,The data file is in the National Cancer Institutue website. It is confidential and is only sent via email as request,NA,https://cancercontrol.cancer.gov/brp/hbrb/flashe.html,cancercontrol.cancer.gov/brp/hbrb/flashe.html,NA,https://cancercontrol.cancer.gov/brp/hbrb/flashe.html,cancercontrol.cancer.gov/brp/hbrb/flashe.html,TRUE,"iter01: others coded, reasons given conflict slightly"
a001116,michelle,2020-04-16,yes,NA,yes,NA,yes,NA,2,1,https://cancercontrol.cancer.gov/brp/hbrb/flashe.html,yes,NA,https://cancercontrol.cancer.gov/brp/hbrb/flashe.html,yes,NA,FLASHE,other,"To access the flashe data resource page, need to enter in email (seems like set up is required)",no,NA,Data not downloaded from first link as appears set up is required,NA,https://cancercontrol.cancer.gov/brp/hbrb/flashe.html,cancercontrol.cancer.gov/brp/hbrb/flashe.html,NA,https://cancercontrol.cancer.gov/brp/hbrb/flashe.html,cancercontrol.cancer.gov/brp/hbrb/flashe.html,TRUE,"iter01: others coded, reasons given conflict slightly"
a001121,steve,2020-08-27,yes,NA,yes,NA,yes,NA,2,1,https://www.iris-database.org,other,"link works, but is to the generic homepage. Searching required to find actual data",https://www.iris-database.org/iris/app/home/detail?id=york:936152,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"Straightforward, no issues",https://www.iris-database.org,https://www.iris-database.org,iris-database.org,https://www.iris-database.org/iris/app/home/detail?id=york:936152,https://www.iris-database.org/iris/app/home/detail?id=york:936152,www.iris-database.org/iris/app/home/detail?id=york:936152,FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a001186,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://midus.colectica.org,yes,NA,https://midus.colectica.org/Account/Login,other,Subscription based repository,Midus,other,Needed login,no,NA,Link led to login page which required login. Could not access any files.,NA,http://midus.colectica.org,midus.colectica.org,NA,https://midus.colectica.org/Account/Login,midus.colectica.org/Account/Login,FALSE,"iter01: steve coded, issue is that account registration required"
a001186,steve,2020-11-07,yes,NA,yes,NA,yes,NA,1,1,http://midus.colectica.org,yes,NA,https://midus.colectica.org/Account/Login,yes,NA,Colectica,other,"Login required, no indication of whether files available",no,NA,"Straight up login page, with no indication of what might be behind the login page (whether data, materials, other things).",NA,http://midus.colectica.org,midus.colectica.org,NA,https://midus.colectica.org/Account/Login,midus.colectica.org/Account/Login,FALSE,"iter01: steve coded, issue is that account registration required"
a001215,steve,2020-08-27,yes,NA,yes,NA,yes,NA,2,2,http://www.iris-database.org,other,"link works, but is to the generic homepage. Searching required to find actual data","https://www.iris-database.org/iris/app/home/detail?id=york:932759, https://www.iris-database.org/iris/app/home/detail?id=york:932760, https://www.iris-database.org/iris/app/home/detail?id=york:932690",yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"There are three data sets associated with this article on IRIS, but only a single link to the IRIS homepage in the article PDF",http://www.iris-database.org,http://www.iris-database.org,iris-database.org,"https://www.iris-database.org/iris/app/home/detail?id=york:932759, https://www.iris-database.org/iris/app/home/detail?id=york:932760, https://www.iris-database.org/iris/app/home/detail?id=york:932690","https://www.iris-database.org/iris/app/home/detail?id=york:932759, https://www.iris-database.org/iris/app/home/detail?id=york:932760, https://www.iris-database.org/iris/app/home/detail?id=york:932690","www.iris-database.org/iris/app/home/detail?id=york:932759, https://www.iris-database.org/iris/app/home/detail?id=york:932760, https://www.iris-database.org/iris/app/home/detail?id=york:932690",FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a001247,steve,2020-08-27,yes,NA,yes,NA,yes,NA,1,1,https://iris-database.org,other,"link works, but is to the generic homepage. Searching required to find actual data","https://iris-database.org/iris/app/home/detail?id=york:936419, https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0",other,IRIS repo just links to files hosted on Dropbox,IRIS/Dropbox,other,"Registration form required before data can be downloaded. Files were actually hosted on Dropbox: https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0",yes,NA,IRIS repo just links to files hosted on Dropbox,https://iris-database.org,https://iris-database.org,iris-database.org,"https://iris-database.org/iris/app/home/detail?id=york:936419, https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0","https://iris-database.org/iris/app/home/detail?id=york:936419, https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0","iris-database.org/iris/app/home/detail?id=york:936419, https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0",FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a001250,steve,2020-09-02,yes,NA,yes,NA,yes,NA,2,1,https://dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,other,"As presented, link does not work, but searching from the gesis home page does locate the correct dataset",https://search.gesis.org/research_data/ZA6701,yes,NA,GESIS,other,Application required to access data,other,Was able to download metadata documents but no actual data,"Original link did not work but dataset locateable, need to apply to access data set",https://dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,https://dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,NA,https://search.gesis.org/research_data/ZA6701,search.gesis.org/research_data/ZA6701,FALSE,"iter01: steve coded, issue is that one needs to apply to access the data"
a001285,steve,2020-09-02,yes,NA,yes,NA,yes,NA,3,2,https://www.iris-database.org,other,"link works, but is to the generic homepage. Searching required to find actual data","https://www.iris-database.org/iris/app/home/detail?id=york:935317, https://github.com/izeh/i, https://github.com/rnorouzian/i/blob/master/i.r",other,IRIS repo just links to files hosted on Github,IRIS/Github,other,Registration form required before data can be downloaded,yes,NA,IRIS repo just links to files hosted on Github,https://www.iris-database.org,https://www.iris-database.org,iris-database.org,"https://www.iris-database.org/iris/app/home/detail?id=york:935317, https://github.com/izeh/i, https://github.com/rnorouzian/i/blob/master/i.r","https://www.iris-database.org/iris/app/home/detail?id=york:935317, https://github.com/izeh/i, https://github.com/rnorouzian/i/blob/master/i.r","www.iris-database.org/iris/app/home/detail?id=york:935317, https://github.com/izeh/i, https://github.com/rnorouzian/i/blob/master/i.r",FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
