study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,review_coding,review_note
a000026,aniruddah,2020-05-01,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This article has cited several webpages from where it referenced data, but these weren't necessarily data repositories, so were not considered.",NA,NA
a000026,michelle,2020-05-12,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data availability statement or open data links,NA,NA
a000026,sophia,2020-04-20,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000233,michelle,2020-04-03,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000233,steve,2020-05-21,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Could not find a link to shared data in paper or on website,NA,NA
a000525,matthew,2020-04-23,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The mention of open data and no link provided,NA,NA
a000525,phuong,2020-04-17,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000525,steve,2020-09-01,yes,NA,no,NA,yes,NA,1,1,https://osf.io/x8jzb/,yes,NA,https://osf.io/x8jzb/,yes,NA,OSF,yes,NA,yes,NA,"The link is buried in the body of the text and is referred to as ""complete materials"" - no explicit mention of open data",NA,NA
a000540,sophia,2020-04-26,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000540,steve,2020-07-24,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This is Stage 1 of a registered report (stage 2 published in 2020) - data is not applicable for this article,NA,NA
