study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,review_coding,review_notes,Publication Title,DOI,Publication Year,Author,Title
a000160,steve,2020-11-22,yes,NA,yes,NA,yes,NA,2,1,http://childes.talkbank.org/,other,"the link is to the repo home page; further searching required to find the datasets actually used (US: 'Brown','Providence','Bloom70','Kuczaj', 'Suppes', 'Sachs', UK: 'Manchester', 'Thomas')",https://childes.talkbank.org/access/Eng-UK/Manchester.html; https://childes.talkbank.org/access/Eng-UK/Thomas.html; https://childes.talkbank.org/access/Eng-NA/Brown.html; https://childes.talkbank.org/access/Eng-NA/Bloom.html; https://childes.talkbank.org/access/Eng-NA/Suppes.html; https://childes.talkbank.org/access/Eng-NA/Sachs.html; https://childes.talkbank.org/access/Eng-NA/Kuczaj.html; https://phonbank.talkbank.org/access/Eng-NA/Providence.html,yes,NA,TalkBank,yes,NA,yes,NA,"Links to the copora used were not included in the article, had to figure them out from the code linked to, then navigate the talkbank/childes website",http://childes.talkbank.org/,http://childes.talkbank.org/,childes.talkbank.org,FALSE,iter03: I was the only coder who found this set of links,Psychological Science,10.1177/0956797616677753,2017,"Meylan, Stephan C.; Frank, Michael C.; Roy, Brandon C.; Levy, Roger",The Emergence of an Abstract Grammatical Category in Children’s Early Speech
a000160,steve,2020-11-22,yes,NA,yes,NA,yes,NA,2,2,https://github.com/smeylan/determiner_learning,yes,NA,https://github.com/smeylan/determiner_learning,yes,NA,GitHub,yes,NA,yes,NA,"This link was ""buried"" in the body of the article text, but is very useful for determining which CHILDES datasets were used.",https://github.com/smeylan/determiner_learning,https://github.com/smeylan/determiner_learning,github.com/smeylan/determiner_learning,FALSE,iter03: I was the only coder who found this link,Psychological Science,10.1177/0956797616677753,2017,"Meylan, Stephan C.; Frank, Michael C.; Roy, Brandon C.; Levy, Roger",The Emergence of an Abstract Grammatical Category in Children’s Early Speech
a000160,evelyn,2020-05-25,yes,NA,yes,NA,yes,NA,2,1,https://journals.sagepub.com/doi/suppl/10.1177/0956797616677753,yes,NA,https://journals.sagepub.com/doi/suppl/10.1177/0956797616677753,yes,NA,Sage Pub,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA,NA,TRUE,iter03: this record should be dropped,Psychological Science,10.1177/0956797616677753,2017,"Meylan, Stephan C.; Frank, Michael C.; Roy, Brandon C.; Levy, Roger",The Emergence of an Abstract Grammatical Category in Children’s Early Speech
a000300,oliver,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,osf.io/4rs5x/,yes,NA,https://osf.io/4rs5x/,yes,NA,OSF,yes,NA,other,"Downloaded successfully, but zip file could not be extracted - operation not permitted",NA,https://osf.io/4rs5x/,https://osf.io/4rs5x/,osf.io/4rs5x,FALSE,recoded by me to deal with problem link,Cortex,10.1016/j.cortex.2019.06.009,2019,"Lucas, Nadia; Bourgeois, Alexia; Carrera, Emmanuel; Landis, Theodor; Vuilleumier, Patrik",Impaired visual search with paradoxically increased facilitation by emotional features after unilateral pulvinar damage
a000300,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/4rs5x/,yes,NA,https://osf.io/4rs5x/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,https://osf.io/4rs5x/,https://osf.io/4rs5x/,osf.io/4rs5x,FALSE,recoded by me to deal with problem link,Cortex,10.1016/j.cortex.2019.06.009,2019,"Lucas, Nadia; Bourgeois, Alexia; Carrera, Emmanuel; Landis, Theodor; Vuilleumier, Patrik",Impaired visual search with paradoxically increased facilitation by emotional features after unilateral pulvinar damage
a000300,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/4rs5x/,yes,NA,https://osf.io/4rs5x/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",https://osf.io/4rs5x/,https://osf.io/4rs5x/,osf.io/4rs5x,FALSE,recoded by me to deal with problem link,Cortex,10.1016/j.cortex.2019.06.009,2019,"Lucas, Nadia; Bourgeois, Alexia; Carrera, Emmanuel; Landis, Theodor; Vuilleumier, Patrik",Impaired visual search with paradoxically increased facilitation by emotional features after unilateral pulvinar damage
a000300,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/9tm36/,no,"""Resource deleted""",NA,NA,NA,NA,NA,NA,NA,NA,I didn't have any problems with this article,https://osf.io/9tm36/,https://osf.io/9tm36/,osf.io/9tm36,FALSE,recoded by me to deal with problem link,Cortex,10.1016/j.cortex.2019.06.009,2019,"Lucas, Nadia; Bourgeois, Alexia; Carrera, Emmanuel; Landis, Theodor; Vuilleumier, Patrik",Impaired visual search with paradoxically increased facilitation by emotional features after unilateral pulvinar damage
a000300,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/9tm36/,yes,NA,https://osf.io/9tm36/,yes,NA,OSF,no,NA,NA,NA,"url works, but displays message ""resource deleted: user has deleted this content""",https://osf.io/9tm36/,https://osf.io/9tm36/,osf.io/9tm36,FALSE,recoded by me to deal with problem link,Cortex,10.1016/j.cortex.2019.06.009,2019,"Lucas, Nadia; Bourgeois, Alexia; Carrera, Emmanuel; Landis, Theodor; Vuilleumier, Patrik",Impaired visual search with paradoxically increased facilitation by emotional features after unilateral pulvinar damage
a000367,evelyn,2020-05-18,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/YM4LDG,no,Doi cannot be found,NA,NA,NA,NA,NA,NA,NA,NA,Doi cannot be found,NA,https://doi.org/10.7910/DVN/YM4LDG,doi.org/10.7910/DVN/YM4LDG,FALSE,recoded by me to deal with problem link,American Journal of Political Science,10.1111/ajps.12365,2018,"Campbell, David E.; Layman, Geoffrey C.; Green, John C.; Sumaktoyo, Nathanael G.",Putting Politics First: The Impact of Politics on American Religious and Secular Orientations
a000367,kongmanas,2020-04-18,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/YM4LDG,no,the link destination was not found,NA,NA,NA,NA,NA,NA,NA,NA,The provided link didn't work,NA,https://doi.org/10.7910/DVN/YM4LDG,doi.org/10.7910/DVN/YM4LDG,FALSE,recoded by me to deal with problem link,American Journal of Political Science,10.1111/ajps.12365,2018,"Campbell, David E.; Layman, Geoffrey C.; Green, John C.; Sumaktoyo, Nathanael G.",Putting Politics First: The Impact of Politics on American Religious and Secular Orientations
