study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,resolved_url_cleaned,review_coding,review_notes,Publication Title,DOI,Publication Year,Author,Title
a001319,kongmanas,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.7910/DVN/3DK6JA,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/3DK6JA,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://doi.org/10.7910/DVN/3DK6JA,doi.org/10.7910/DVN/3DK6JA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/3DK6JA,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12407,2019,"Bormann, Nils-Christian; Cederman, Lars-Erik; Gates, Scott; Graham, Benjamin A. T.; Hug, Simon; Strøm, Kaare W.; Wucherpfennig, Julian","Power Sharing: Institutions, Behavior, and Peace"
a001319,michelle,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.7910/DVN/3DK6JA,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/3DK6JA,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://doi.org/10.7910/DVN/3DK6JA,doi.org/10.7910/DVN/3DK6JA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/3DK6JA,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12407,2019,"Bormann, Nils-Christian; Cederman, Lars-Erik; Gates, Scott; Graham, Benjamin A. T.; Hug, Simon; Strøm, Kaare W.; Wucherpfennig, Julian","Power Sharing: Institutions, Behavior, and Peace"
a001346,andy,2020-11-12,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/FZI6NO,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FZI6NO,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No issues,NA,http://dx.doi.org/10.7910/DVN/FZI6NO,dx.doi.org/10.7910/DVN/FZI6NO,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FZI6NO,NA,NA,American Journal of Political Science,10.1111/ajps.12280,2017,"Kim, Sung Eun; Margalit, Yotam",Informed Preferences? The Impact of Unions on Workers' Policy Views
a001346,aniruddah,2020-05-01,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/FZI6NO,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FZI6NO,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No issues with this article.,NA,http://dx.doi.org/10.7910/DVN/FZI6NO,dx.doi.org/10.7910/DVN/FZI6NO,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FZI6NO,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12280,2017,"Kim, Sung Eun; Margalit, Yotam",Informed Preferences? The Impact of Unions on Workers' Policy Views
a001346,steve,2020-07-27,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/FZI6NO,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FZI6NO,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Straightforward, no issues",NA,http://dx.doi.org/10.7910/DVN/FZI6NO,dx.doi.org/10.7910/DVN/FZI6NO,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FZI6NO,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12280,2017,"Kim, Sung Eun; Margalit, Yotam",Informed Preferences? The Impact of Unions on Workers' Policy Views
a001368,oliver,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,dx.doi.org/10.7910/DVN/K6ZOOW,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/K6ZOOW,other,Harvard version of Dataverse,NA,yes,NA,yes,NA,NA,NA,dx.doi.org/10.7910/DVN/K6ZOOW,dx.doi.org/10.7910/DVN/K6ZOOW,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/K6ZOOW,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12260,2017,"Rueda, Miguel R.","Small Aggregates, Big Manipulation: Vote Buying Enforcement and Collective Monitoring"
a001368,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/K6ZOOW,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/K6ZOOW,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://dx.doi.org/10.7910/DVN/K6ZOOW,dx.doi.org/10.7910/DVN/K6ZOOW,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/K6ZOOW,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12260,2017,"Rueda, Miguel R.","Small Aggregates, Big Manipulation: Vote Buying Enforcement and Collective Monitoring"
a001369,nguyenlam,2020-04-11,yes,NA,yes,NA,yes,NA,2,2,https://doi.org/10.7910/DVN/GSQG1K,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GSQG1K,yes,NA,Harvard Dataverse,yes,NA,yes,NA,Not have any problems,https://dataverse.harvard.edu/dataset.xhtml?persistentId=https://doi.org/10.7910/DVN/GSQG1K,https://dataverse.harvard.edu/dataset.xhtml?persistentId=https://doi.org/10.7910/DVN/GSQG1K,dataverse.harvard.edu/dataset.xhtml?persistentId=https://doi.org/10.7910/DVN/GSQG1K,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GSQG1K,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12396,2019,"Kane, John V.; Barabas, Jason",No Harm in Checking: Using Factual Manipulation Checks to Assess Attentiveness in Experiments
a001369,steve,2020-08-29,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=https://doi.org/10.7910/DVN/GSQG1K,other,This link unsuccessfully attempts to combine the dataverse url with a doi-based url and doesn't work as printed - using the final part of the url (just the doi url) works though - https://doi.org/10.7910/DVN/GSQG1K,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GSQG1K,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"URL as printed in article does not work, but it is easy to recognise what the correct url is",https://dataverse.harvard.edu/dataset.xhtml?persistentId=https://doi.org/10.7910/DVN/GSQG1K,https://dataverse.harvard.edu/dataset.xhtml?persistentId=https://doi.org/10.7910/DVN/GSQG1K,dataverse.harvard.edu/dataset.xhtml?persistentId=https://doi.org/10.7910/DVN/GSQG1K,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GSQG1K,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12396,2019,"Kane, John V.; Barabas, Jason",No Harm in Checking: Using Factual Manipulation Checks to Assess Attentiveness in Experiments
a001380,aniruddah,2020-05-13,yes,NA,yes,NA,yes,NA,1,1,http://www.iris-database.org/iris/app/home/detail?id=york:935928&amp;ref=search,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:935928&amp;ref=search,yes,NA,IRIS Digital Repository,yes,NA,yes,NA,No issues with this article.,NA,http://www.iris-database.org/iris/app/home/detail?id=york:935928&amp;ref=search,iris-database.org/iris/app/home/detail?id=york:935928&amp;ref=search,www.iris-database.org/iris/app/home/detail?id=york:935928&amp;ref=search,FALSE,only the www is missing - merely a cleaning difference,Studies in Second Language Acquisition,10.1017/S0272263118000311,2019,"Teimouri, Yasser; Goetze, Julia; Plonsky, Luke",SECOND LANGUAGE ANXIETY AND ACHIEVEMENT: A META-ANALYSIS
a001380,oliver,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,iris-database.org/iris/app/home/detail?id=york:935928&amp;ref=search,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:935928&amp;ref=search,yes,NA,IRIS,yes,NA,yes,NA,NA,NA,iris-database.org/iris/app/home/detail?id=york:935928&amp;ref=search,iris-database.org/iris/app/home/detail?id=york:935928&amp;ref=search,www.iris-database.org/iris/app/home/detail?id=york:935928&amp;ref=search,FALSE,only the www is missing - merely a cleaning difference,Studies in Second Language Acquisition,10.1017/S0272263118000311,2019,"Teimouri, Yasser; Goetze, Julia; Plonsky, Luke",SECOND LANGUAGE ANXIETY AND ACHIEVEMENT: A META-ANALYSIS
