study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,review_coding,review_note
a000880,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"Says the site cannot be reached, server IP cannot be found",NA,NA,NA,NA,NA,NA,NA,NA,Main issue here is that the link did not work,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a000880,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"The link said ""This site can't be reach/ server IP address could not be found",NA,NA,NA,NA,NA,NA,NA,NA,"Note in ""link_work"" column: The link does not work",NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a000880,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,pisa2006.acer.edu.au/downloads.php,no,Dead link. Server could not be found.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a000880,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,this site can't be reached,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a000880,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Site cannot be reached' warning,NA,NA,NA,NA,NA,NA,NA,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a001147,michelle,2020-04-13,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?id=3037337,no,Error 404 Page Not found,NA,NA,NA,NA,NA,NA,NA,NA,Error 404 - page not found,NA,https://dataverse.harvard.edu/dataset.xhtml?id=3037337,dataverse.harvard.edu/dataset.xhtml?id=3037337,TRUE,"Link really doesn't work (invalid DOI), but repo can be found via searching"
a001147,oliver,2020-04-26,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?id=3037337,no,"Could not resolve URL as outside remit of UoM student account, but this may be a way of finding it via manually searching Harvard Dataverse:  |  doi:10.1177/0956797617728270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dataverse.harvard.edu/dataset.xhtml?id=3037337,dataverse.harvard.edu/dataset.xhtml?id=3037337,TRUE,"Link really doesn't work (invalid DOI), but repo can be found via searching"
a001250,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,2,1,https://dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,no,URL not found,NA,NA,NA,NA,NA,NA,NA,NA,Article had 2 links - This URL not found,https://dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,https://dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,TRUE,"Link really doesn't work (invalid url), but repo can be found via searching"
a001250,sophia,2020-04-08,yes,NA,yes,NA,yes,NA,2,1,https://dbk.gesis.org/DBKSearch/SDesc2asp?no=6701,no,404 Not found',NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,https://dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,TRUE,"Link really doesn't work (invalid url), but repo can be found via searching"
a001280,matthew,2020-04-28,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/y3zcn/,no,Invalid link,NA,NA,NA,NA,NA,NA,NA,NA,Invalid link,https://osf.io/y3zcn/,https://osf.io/y3zcn/,osf.io/y3zcn,TRUE,This link does work - but I think I reviewed this article and dropped this link anyway
a001280,michelle,2020-04-13,yes,NA,yes,NA,yes,NA,3,3,https://osf.io/y3zcn/,no,Page not found,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://osf.io/y3zcn/,https://osf.io/y3zcn/,osf.io/y3zcn,TRUE,This link does work - but I think I reviewed this article and dropped this link anyway
a001293,steve,2020-07-10,yes,NA,yes,NA,yes,NA,2,2,https://doi.org/10.14284/PANGAEA.329,no,Invalid DOI,NA,NA,NA,NA,NA,NA,NA,NA,This might be a drafting error? DOI is very similar to the one that works,NA,https://doi.org/10.14284/PANGAEA.329,doi.org/10.14284/PANGAEA.329,FALSE,"coded by me, is ok - link looks like an editing error - the data can be found at a different DOI given in the PDF"
a001548,steve,2020-07-10,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.11922/sciencedb.642,no,500 error,NA,NA,NA,NA,NA,NA,NA,NA,"Link resolved to http://www.sciencedb.cn/dataSet/handle/642, but server returned 500 error. Can't find data by searching on scidb.cn, either.",NA,https://doi.org/10.11922/sciencedb.642,doi.org/10.11922/sciencedb.642,FALSE,coded by me - dataset does not seem to exist
a001614,steve,2020-05-21,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MVGYWG,no,Asks for a login - may be a not found error,NA,NA,NA,NA,NA,NA,NA,NA,"DOI could not be found, either - searching by author on dataverse does not return this study",NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MVGYWG,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MVGYWG,FALSE,coded by me - dataset does not seem to exist (or at least not public)
