batch_id,batch_date,study_id,Author,Publication Year,Title,Publication Title,pdf_filename
batch0910,2020-08-26,a000011,"Nave, Gideon; Jung, Wi Hoon; Linnér, Richard Karlsson; Kable, Joseph W; Koellinger, Philipp D",2019,Are Bigger Brains Smarter? Evidence From a Large-Scale Preregistered Study,Psychological Science,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000047,"Rentzsch, Katrin; Schröder‐Abé, Michela",2018,Stability and Change in Domain-specific Self-esteem and Global Self-esteem,European Journal of Personality,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000099,"Lundquist, Anastasia; Gurung, Regan A. R.",2019,Social Distancing Individuals With Depression: The Impact of Symptom Severity,Psi Chi Journal of Psychological Research,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000128,Murakami Akira,2016,Modeling Systematicity and Individuality in Nonlinear Second Language Development: The Case of English Grammatical Morphemes,Language Learning,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000186,"Starns, Jeffrey J.; Cataldo, Andrea M.; Rotello, Caren M.; Annis, Jeffrey; Aschenbrenner, Andrew; Bröder, Arndt; Cox, Gregory; Criss, Amy; Curl, Ryan A.; Dobbins, Ian G.; Dunn, John; Enam, Tasnuva; Evans, Nathan J.; Farrell, Simon; Fraundorf, Scott H.; Gronlund, Scott D.; Heathcote, Andrew; Heck, Daniel W.; Hicks, Jason L.; Huff, Mark J.; Kellen, David; Key, Kylie N.; Kilic, Asli; Klauer, Karl Christoph; Kraemer, Kyle R.; Leite, Fábio P.; Lloyd, Marianne E.; Malejka, Simone; Mason, Alice; McAdoo, Ryan M.; McDonough, Ian M.; Michael, Robert B.; Mickes, Laura; Mizrak, Eda; Morgan, David P.; Mueller, Shane T.; Osth, Adam; Reynolds, Angus; Seale-Carlisle, Travis M.; Singmann, Henrik; Sloane, Jennifer F.; Smith, Andrew M.; Tillman, Gabriel; van Ravenzwaaij, Don; Weidemann, Christoph T.; Wells, Gary L.; White, Corey N.; Wilson, Jack",2019,Assessing Theoretical Conclusions With Blinded Inference to Investigate a Potential Inference Crisis,Advances in Methods and Practices in Psychological Science,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000228,"Davis, Charles P.; Morrow, Hannah M.; Lupyan, Gary",2019,What Does a Horgous Look Like? Nonsense Words Elicit Meaningful Drawings,Cognitive Science,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000247,"Silberzahn, R.; Uhlmann, E. L.; Martin, D. P.; Anselmi, P.; Aust, F.; Awtrey, E.; Bahník, Š.; Bai, F.; Bannard, C.; Bonnier, E.; Carlsson, R.; Cheung, F.; Christensen, G.; Clay, R.; Craig, M. A.; Dalla Rosa, A.; Dam, L.; Evans, M. H.; Flores Cervantes, I.; Fong, N.; Gamez-Djokic, M.; Glenz, A.; Gordon-McKeon, S.; Heaton, T. J.; Hederos, K.; Heene, M.; Hofelich Mohr, A. J.; Högden, F.; Hui, K.; Johannesson, M.; Kalodimos, J.; Kaszubowski, E.; Kennedy, D. M.; Lei, R.; Lindsay, T. A.; Liverani, S.; Madan, C. R.; Molden, D.; Molleman, E.; Morey, R. D.; Mulder, L. B.; Nijstad, B. R.; Pope, N. G.; Pope, B.; Prenoveau, J. M.; Rink, F.; Robusto, E.; Roderique, H.; Sandberg, A.; Schlüter, E.; Schönbrodt, F. D.; Sherman, M. F.; Sommer, S. A.; Sotak, K.; Spain, S.; Spörlein, C.; Stafford, T.; Stefanutti, L.; Tauber, S.; Ullrich, J.; Vianello, M.; Wagenmakers, E.-J.; Witkowiak, M.; Yoon, S.; Nosek, B. A.",2018,"Many Analysts, One Data Set: Making Transparent How Variations in Analytic Choices Affect Results",Advances in Methods and Practices in Psychological Science,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000253,"White, Alex L; Palmer, John; Boynton, Geoffrey M",2018,Evidence of Serial Processing in Visual Word Recognition,Psychological Science,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000273,"Maes, Marlies; Qualter, Pamela; Vanhalst, Janne; Noortgate, Wim Van den; Goossens, Luc",2019,Gender Differences in Loneliness Across the Lifespan: A Meta-Analysis,European Journal of Personality,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000294,"Vardy, Tom; Atkinson, Quentin D.",2019,Property Damage and Exposure to Other People in Distress Differentially Predict Prosocial Behavior After a Natural Disaster,Psychological Science,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000295,"Arroyo, Diana C.; Yilmaz, Yucel",2018,An Open for Replication Study: The Role of Feedback Timing in Synchronous Computer-Mediated Communication,Language Learning,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000299,"Kraus, Michael W.; Brown, Xanni; Swoboda, Hannah",2019,Dog whistle mascots: Native American mascots as normative expressions of prejudice,Journal of Experimental Social Psychology,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000300,"Lucas, Nadia; Bourgeois, Alexia; Carrera, Emmanuel; Landis, Theodor; Vuilleumier, Patrik",2019,Impaired visual search with paradoxically increased facilitation by emotional features after unilateral pulvinar damage,Cortex,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000372,"Yu, Dian; Xiao, Xiao; Bemis, Douglas K; Franconeri, Steven L",2019,Similarity Grouping as Feature-Based Selection,Psychological Science,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000381,"Daalmans, Serena; Odink, Mariette",2019,Stereotyped but Liked? A Content Analysis of the Presence and Stereotypical Portrayal of Minority Groups in Award-Winning Commercials,Communication Research Reports,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000389,"West, Tessa V.; Koslov, Katrina; Page-Gould, Elizabeth; Major, Brenda; Mendes, Wendy Berry",2017,Contagious Anxiety: Anxious European Americans Can Transmit Their Physiological Reactivity to African Americans,Psychological Science,Refer to Zotero library for PDF/link
batch0910,2020-08-26,a000391,"Clayton, Jonathan B.; Shields‐Cutler, Robin R.; Hoops, Susan L.; Al‐Ghalith, Gabriel A.; Sha, John C. M.; Johnson, Timothy J.; Knights, Dan",2019,Bacterial community structure and function distinguish gut sites in captive red-shanked doucs (Pygathrix nemaeus),American Journal of Primatology,Refer to Zotero library for PDF/link
