batch_id,batch_date,study_id,Author,Publication Year,Title,Publication Title,pdf_filename
batch0028,2020-04-08,a000020,"Ellefson, Michelle R.; Ng, Florrie Fei-Yin; Wang, Qian; Hughes, Claire",2017,Efficiency of Executive Function: A Two-Generation Cross-Cultural Comparison of Samples From Hong Kong and the United Kingdom,Psychological Science,batch0028/a000020/a000020_article.pdf
batch0028,2020-04-08,a000133,"Sisk, Victoria F.; Burgoyne, Alexander P.; Sun, Jingze; Butler, Jennifer L.; Macnamara, Brooke N.",2018,To What Extent and Under Which Circumstances Are Growth Mind-Sets Important to Academic Achievement? Two Meta-Analyses,Psychological Science,batch0028/a000133/a000133_article.pdf
batch0028,2020-04-08,a000193,"Brandt, Mark J.; IJzerman, Hans; Blanken, Irene",2014,"Does Recalling Moral Behavior Change the Perception of Brightness?: A Replication and Meta-Analysis of Banerjee, Chatterjee, and Sinha (2012)",Social Psychology,batch0028/a000193/a000193_article.pdf
batch0028,2020-04-08,a000260,"Mace, Ryan A.; Waters, Abigail B.; Sawyer, Kayle S.; Turrisi, Taylor; Gansler, David A.",2019,Components of executive function model regional prefrontal volumes.,Neuropsychology,batch0028/a000260/a000260_article.pdf
batch0028,2020-04-08,a000293,"Eichstaedt, Johannes C.; Schwartz, Hansen Andrew; Kern, Margaret L.; Park, Gregory; Labarthe, Darwin R.; Merchant, Raina M.; Jha, Sneha; Agrawal, Megha; Dziurzynski, Lukasz A.; Sap, Maarten; Weeg, Christopher; Larson, Emily E.; Ungar, Lyle H.; Seligman, Martin E. P.",2015,Psychological Language on Twitter Predicts County-Level Heart Disease Mortality,Psychological Science,batch0028/a000293/a000293_article.pdf
batch0028,2020-04-08,a000338,"Chong, Alberto; León‐Ciliotta, Gianmarco; Roza, Vivian; Valdivia, Martín; Vega, Gabriela",2019,"Urbanization Patterns, Information Diffusion, and Female Voting in Rural Paraguay",American Journal of Political Science,batch0028/a000338/a000338_article.pdf
batch0028,2020-04-08,a000379,"Patil, Anuya; Duncan, Katherine",2018,Lingering Cognitive States Shape Fundamental Mnemonic Abilities,Psychological Science,batch0028/a000379/a000379_article.pdf
batch0028,2020-04-08,a000382,"Wetzel, Eunike; Brown, Anna; Hill, Patrick L.; Chung, Joanne M.; Robins, Richard W.; Roberts, Brent W.",2017,The Narcissism Epidemic Is Dead; Long Live the Narcissism Epidemic,Psychological Science,batch0028/a000382/a000382_article.pdf
batch0028,2020-04-08,a000411,"Kogan, Vladimir; Lavertu, Stéphane; Peskowitz, Zachary",2018,"Election Timing, Electorate Composition, and Policy Outcomes: Evidence from School Districts",American Journal of Political Science,batch0028/a000411/a000411_article.pdf
batch0028,2020-04-08,a000475,"Ort, Eduard; Fahrenfort, Johannes J.; Olivers, Christian N. L.",2017,Lack of Free Choice Reveals the Cost of Having to Search for More Than One Object,Psychological Science,batch0028/a000475/a000475_article.pdf
batch0028,2020-04-08,a000480,"Mendelberg, Tali; McCabe, Katherine T.; Thal, Adam",2017,College Socialization and the Economic Views of Affluent Americans,American Journal of Political Science,batch0028/a000480/a000480_article.pdf
batch0028,2020-04-08,a000504,"Godard, Marc; Wamain, Yannick; Kalénine, Solène",2019,Do manufactured and natural objects evoke similar motor information? The case of action priming,Quarterly Journal of Experimental Psychology,batch0028/a000504/a000504_article.pdf
