article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a001043,matthew,2020-04-15,yes,,yes,,yes,,1,1,https://osf.io/4vk5x/,yes,,https://osf.io/4vk5x,yes,,OSF,yes,,yes,,No problems with this article
a001070,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://osf.io/q6gbw/,yes,,https://osf.io/q6gbw/,yes,,OSF,yes,,yes,,No problems with this article
a001122,matthew,2020-04-17,yes,,yes,"Mentioned that in the online version of the article, there is an online appendix with a data set",no,,,,,,,,,,,,,,,"Mentions an availability to data in the online version of the article, but no access to data in the document itself"
a001196,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://osf.io/rdfm3/,yes,,https://osf.io/rdfm3/,yes,,OSF,yes,,yes,,No problems with this article
a001224,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://osf.io/2ngs9/registrations/,yes,,https://osf.io/2ngs9/registrations,yes,,OSF,yes,,yes,,No problems with this article
a001296,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://iris-database.org,yes,,https://iris-database.org/iris/app/home/index;jsessionid=632B272BDB4F94B4BF3CA11D342DE014,yes,,IRIS,yes,"The link lead to the homepage of the repository, and I had to find the data of the document myself",yes,,"The link lead to the homepage of the repository, which made the user manually find the data to the document, also, to download, they collected information of the downloader. "
a001297,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OE9BNP,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OE9BNP,yes,,Harvard Dataverse,yes,,yes,,No problems with this article
a001372,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://osf.io/rydzg/.,yes,,https://osf.io/rydzg/,yes,,OSF,yes,,yes,,No problems with this article
a001379,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://osf.io/wkjp6,yes,,https://osf.io/wkjp6/,yes,,OSF,yes,,yes,,No problems with this article
a001448,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://osf.io/yfc5m/,yes,,https://osf.io/yfc5m/,yes,,OSF,yes,,yes,,No problems with this article
a001460,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://osf.io/b4nvf/,yes,,https://osf.io/b4nvf/,yes,,OSF,yes,,yes,,No problems with this article
a001475,matthew,2020-04-17,yes,,yes,"Mentioned that in the online version of the article, there is an online appendix with a data set",no,,,,,,,,,,,,,,,"Mentions an availability to data in the online version of the article, but no access to data in the document itself"
a001517,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/YUM3K8.,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YUM3K8,yes,,Havard Dataverse,yes,,yes,,No problems with this article
a001524,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/XRJ43D.,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XRJ43D,yes,,Havard Dataverse,yes,,yes,,No problems with this article
a001571,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://osf.io/4ef6t/?view_only=b6f868173bd14b81ad8e9bb73b71014d,yes,,https://osf.io/4ef6t/?view_only=b6f868173bd14b81ad8e9bb73b71014d,yes,,OSF,yes,,yes,,No problems with this article
a001577,matthew,2020-04-17,yes,,yes,,yes,,2,1,https://www.usap-dc.org/view/project/p0010035,yes,,https://www.usap-dc.org/view/project/p0010035,no,,,yes,,no,file exceeds 500mb,"The process to download all data is complicated, with files seperates over 4 pages (leading from this page) and some data required a request to the website for download"
a001577,matthew,2020-04-17,yes,,yes,,yes,,2,2,https://github.com/martinjpratt/ZoomAntarctica,yes,,https://github.com/martinjpratt/ZoomAntarctica,yes,,Github,yes,,no,file exceeds 500mb and took longer than 15 minutes,"Download took too long, however, there were diagrams and descriptions of the data below the file which was interesting."
a001584,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/8KNF3I,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8KNF3I,yes,,Havard Dataverse,yes,,yes,,No problems with this article
a001623,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://osf.io/vjwsg/,yes,,https://osf.io/vjwsg/,yes,,OSF,yes,,yes,,No problems with this article
a001627,matthew,2020-04-17,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/QSXDUN,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QSXDUN,yes,,Harvard Dataverse,yes,,yes,,No problems with this article
a001628,matthew,2020-04-17,yes,,yes,,yes,,2,1,https://osf.io/tvyxz/wiki,yes,"Had two links (other was : https://osf.io/7gy85), they ultimately lead to the same page. ",https://osf.io/bxj9d/,yes,,OSF,yes,,yes,,No problems with this article
a001637,matthew,2020-04-17,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/KYI9AR,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KYI9AR,yes,,Harvard Dataverse,yes,,yes,,No problems with this article
a000054,matthew,2020-04-21,yes,,yes,,yes,,1,1,https://osf.io/hgcet/,yes,,https://osf.io/hgcet/,yes,,OSF,yes,,yes,,No problems with this article
a000083,matthew,2020-04-21,yes,,yes,,yes,,1,1,https://osf.io/rmjtg,yes,,https://osf.io/rmjtg/,yes,,OSF,yes,,no,download took longer than 15 min,Download took too long
a000136,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/9d6t4/,no,,,,,,,,,,The provided link does not work
a000149,matthew,2020-04-22,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/7TA47E,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7TA47E,yes,,Harvard Dataverse,yes,,yes,,No problems with this article
a000170,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/23gc4/,yes,,https://osf.io/23gc4/,yes,,OSF,yes,,yes,,No problems with this article
a000205,matthew,2020-04-22,yes,,yes,,yes,,1,1,https//osf.io/g6tnd/,yes,,https://osf.io/g6tnd,yes,,OSF,yes,,yes,,No problems with this article
a000213,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/aj98f,yes,,https://osf.io/aj98f,yes,,OSF,yes,,yes,,No problems with this article
a000230,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/gq7z2,yes,,https://osf.io/gq7z2,yes,,OSF,yes,,yes,,No problems with this article
a000309,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://doi.org/10.14264/uql.2019.12,yes,,https://espace.library.uq.edu.au/view/UQ:21a02ec,yes,,UQ eSpace,yes,,partial,Some files were over 10GB,Files were too big
a000325,matthew,2020-04-22,yes,,yes,,yes,,2,1,https://osf.io/rt6un,yes,,https://osf.io/rt6un/,yes,,OSF,yes,,yes,,"Many of the folders downloaded were empty. However, the results and data file was not empty."
a000325,matthew,2020-04-22,yes,,yes,,yes,,2,2,https://osf.io/kzmr5/,yes,,https://osf.io/kzmr5/,yes,,OSF,yes,,yes,,"Many of the folders downloaded were empty. However, the results and data file was not empty."
a000336,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/nydsz/,yes,,https://osf.io/nydsz/,yes,,OSF,yes,,yes,,No problems with this article
a000344,matthew,2020-04-22,yes,,yes,,yes,,1,1,osf.io/8dv5z,yes,,https://osf.io/8dv5z,yes,,OSF,yes,,yes,,No problems with this article
a000350,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/5gtyv/,yes,,https://osf.io/5gtyv/,yes,,OSF,yes,,yes,,No problems with this article
