article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a000714,andy,2020-11-11,yes,,yes,,yes,,1,1,https://osf.io/7wazk/,yes,,https://osf.io/7wazk/,yes,,OSF,yes,,yes,,No issues
a000861,andy,2020-11-11,yes,,yes,,yes,,1,1,https://osf.io/qh896/,yes,,https://osf.io/qh896/,yes,,OSF,yes,,yes,,No issues
a000962,andy,2020-11-11,yes,,yes,,yes,,1,1,https://osf.io/qch87/,yes,,https://osf.io/qch87/,yes,,OSF,yes,,yes,,No issues
a000963,andy,2020-11-11,yes,,yes,,yes,,1,1,http://journals.sagepub.com/doi/suppl/10.1177/0956797618818484,yes,,https://journals.sagepub.com/doi/suppl/10.1177/0956797618818484,no,,,no,,,,Link goes to online article. No data files.
a001030,andy,2020-11-11,yes,,yes,,yes,,1,1,https://osf.io/wytek/,yes,,https://osf.io/wytek/,yes,,OSF,yes,,yes,,No issues
a001114,andy,2020-11-11,yes,,yes,,yes,,1,1,https://osf.io/axphc/,yes,,https://osf.io/axphc,yes,,OSF,yes,,yes,,No issues
a001149,andy,2020-11-11,yes,,yes,,yes,,1,1,https://www.iris‐database.org/iris/app/home/detail?id=york:934328,no,Link appears to be broken,,,,,,,,,Data availability statement says files are also available from DDBJ but no link provided.
a001171,andy,2020-11-11,yes,,yes,,yes,,1,1,https://osf.io/d9jfz/,yes,,https://osf.io/d9jfz/,yes,,OSF,yes,,yes,,No issues
a001220,andy,2020-11-12,yes,,yes,,yes,,1,1,https://osf.io/jmiwn/,yes,,https://osf.io/jmiwn/,yes,,OSF,yes,,yes,,No issues
a001238,andy,2020-11-12,yes,,yes,,yes,,1,1,https://osf.io/ut382/,yes,,https://osf.io/ut382/,yes,,OSF,yes,,yes,,No issues
a001240,andy,2020-11-12,yes,,yes,,yes,,1,1,https://osf.io/v36a6/,yes,,https://osf.io/v36a6/,yes,,OSF,yes,,yes,,No issues
a001346,andy,2020-11-12,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/FZI6NO,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FZI6NO,yes,,Harvard Dataverse,yes,,yes,,No issues
a001362,andy,2020-11-12,yes,,yes,,yes,,1,1,https://osf.io/t79ca/,yes,,https://osf.io/t79ca/,yes,,OSF,yes,,yes,,No issues
a001390,andy,2020-11-12,yes,,yes,,yes,,1,1,osf.io/93cvs,yes,,https://osf.io/93cvs/,yes,,OSF,yes,,yes,,No issues
a001405,andy,2020-11-16,yes,,yes,,yes,,1,1,https://osf.io/mk73j/,yes,,https://osf.io/mk73j/,yes,,OSF,yes,,yes,,No issues
a001415,andy,2020-11-16,yes,,yes,,yes,,1,1,https://osf.io/6j9aq/,yes,,https://osf.io/6j9aq/,yes,,OSF,yes,,yes,,No issues
