article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a000867,matthew,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/dw5fm/,yes,NA,https://osf.io/dw5fm/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000991,matthew,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4rmnv/,yes,NA,https://osf.io/4rmnv/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001014,matthew,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/j7hdm,yes,NA,https://osf.io/j7hdm,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001043,matthew,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4vk5x/,yes,NA,https://osf.io/4vk5x,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001070,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/q6gbw/,yes,NA,https://osf.io/q6gbw/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001122,matthew,2020-04-17,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mentions an availability to data in the online version of the article, but no access to data in the document itself"
a001196,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/rdfm3/,yes,NA,https://osf.io/rdfm3/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001224,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/2ngs9/registrations/,yes,NA,https://osf.io/2ngs9/registrations,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001296,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://iris-database.org,yes,NA,https://iris-database.org/iris/app/home/index;jsessionid=632B272BDB4F94B4BF3CA11D342DE014,yes,NA,IRIS,other,"The link lead to the homepage of the repository, and I had to find the data of the document myself",yes,NA,"The link lead to the homepage of the repository, which made the user manually find the data to the document, also, to download, they collected information of the downloader."
a001297,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OE9BNP,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OE9BNP,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No problems with this article
a001372,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/rydzg/.,yes,NA,https://osf.io/rydzg/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001379,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/wkjp6,yes,NA,https://osf.io/wkjp6/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001448,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/yfc5m/,yes,NA,https://osf.io/yfc5m/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001460,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/b4nvf/,yes,NA,https://osf.io/b4nvf/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001475,matthew,2020-04-17,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mentions an availability to data in the online version of the article, but no access to data in the document itself"
